id,name,height,weight,lang,types
1,bulbasaur,7,69,"[['フシギダネ', 'ja-Hrkt'], ['Fushigidane', 'roomaji'], ['이상해씨', 'ko'], ['妙蛙種子', 'zh-Hant'], ['Bulbizarre', 'fr'], ['Bisasam', 'de'], ['Bulbasaur', 'es'], ['Bulbasaur', 'it'], ['Bulbasaur', 'en'], ['フシギダネ', 'ja'], ['妙蛙种子', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
2,ivysaur,10,130,"[['フシギソウ', 'ja-Hrkt'], ['Fushigisou', 'roomaji'], ['이상해풀', 'ko'], ['妙蛙草', 'zh-Hant'], ['Herbizarre', 'fr'], ['Bisaknosp', 'de'], ['Ivysaur', 'es'], ['Ivysaur', 'it'], ['Ivysaur', 'en'], ['フシギソウ', 'ja'], ['妙蛙草', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
3,venusaur,20,1000,"[['フシギバナ', 'ja-Hrkt'], ['Fushigibana', 'roomaji'], ['이상해꽃', 'ko'], ['妙蛙花', 'zh-Hant'], ['Florizarre', 'fr'], ['Bisaflor', 'de'], ['Venusaur', 'es'], ['Venusaur', 'it'], ['Venusaur', 'en'], ['フシギバナ', 'ja'], ['妙蛙花', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
4,charmander,6,85,"[['ヒトカゲ', 'ja-Hrkt'], ['Hitokage', 'roomaji'], ['파이리', 'ko'], ['小火龍', 'zh-Hant'], ['Salamèche', 'fr'], ['Glumanda', 'de'], ['Charmander', 'es'], ['Charmander', 'it'], ['Charmander', 'en'], ['ヒトカゲ', 'ja'], ['小火龙', 'zh-Hans']]","[[1, 'fire']]"
5,charmeleon,11,190,"[['リザード', 'ja-Hrkt'], ['Lizardo', 'roomaji'], ['리자드', 'ko'], ['火恐龍', 'zh-Hant'], ['Reptincel', 'fr'], ['Glutexo', 'de'], ['Charmeleon', 'es'], ['Charmeleon', 'it'], ['Charmeleon', 'en'], ['リザード', 'ja'], ['火恐龙', 'zh-Hans']]","[[1, 'fire']]"
6,charizard,17,905,"[['リザードン', 'ja-Hrkt'], ['Lizardon', 'roomaji'], ['리자몽', 'ko'], ['噴火龍', 'zh-Hant'], ['Dracaufeu', 'fr'], ['Glurak', 'de'], ['Charizard', 'es'], ['Charizard', 'it'], ['Charizard', 'en'], ['リザードン', 'ja'], ['喷火龙', 'zh-Hans']]","[[1, 'fire'], [2, 'flying']]"
7,squirtle,5,90,"[['ゼニガメ', 'ja-Hrkt'], ['Zenigame', 'roomaji'], ['꼬부기', 'ko'], ['傑尼龜', 'zh-Hant'], ['Carapuce', 'fr'], ['Schiggy', 'de'], ['Squirtle', 'es'], ['Squirtle', 'it'], ['Squirtle', 'en'], ['ゼニガメ', 'ja'], ['杰尼龟', 'zh-Hans']]","[[1, 'water']]"
8,wartortle,10,225,"[['カメール', 'ja-Hrkt'], ['Kameil', 'roomaji'], ['어니부기', 'ko'], ['卡咪龜', 'zh-Hant'], ['Carabaffe', 'fr'], ['Schillok', 'de'], ['Wartortle', 'es'], ['Wartortle', 'it'], ['Wartortle', 'en'], ['カメール', 'ja'], ['卡咪龟', 'zh-Hans']]","[[1, 'water']]"
9,blastoise,16,855,"[['カメックス', 'ja-Hrkt'], ['Kamex', 'roomaji'], ['거북왕', 'ko'], ['水箭龜', 'zh-Hant'], ['Tortank', 'fr'], ['Turtok', 'de'], ['Blastoise', 'es'], ['Blastoise', 'it'], ['Blastoise', 'en'], ['カメックス', 'ja'], ['水箭龟', 'zh-Hans']]","[[1, 'water']]"
10,caterpie,3,29,"[['キャタピー', 'ja-Hrkt'], ['Caterpie', 'roomaji'], ['캐터피', 'ko'], ['綠毛蟲', 'zh-Hant'], ['Chenipan', 'fr'], ['Raupy', 'de'], ['Caterpie', 'es'], ['Caterpie', 'it'], ['Caterpie', 'en'], ['キャタピー', 'ja'], ['绿毛虫', 'zh-Hans']]","[[1, 'bug']]"
11,metapod,7,99,"[['トランセル', 'ja-Hrkt'], ['Trancell', 'roomaji'], ['단데기', 'ko'], ['鐵甲蛹', 'zh-Hant'], ['Chrysacier', 'fr'], ['Safcon', 'de'], ['Metapod', 'es'], ['Metapod', 'it'], ['Metapod', 'en'], ['トランセル', 'ja'], ['铁甲蛹', 'zh-Hans']]","[[1, 'bug']]"
12,butterfree,11,320,"[['バタフリー', 'ja-Hrkt'], ['Butterfree', 'roomaji'], ['버터플', 'ko'], ['巴大蝶', 'zh-Hant'], ['Papilusion', 'fr'], ['Smettbo', 'de'], ['Butterfree', 'es'], ['Butterfree', 'it'], ['Butterfree', 'en'], ['バタフリー', 'ja'], ['巴大蝶', 'zh-Hans']]","[[1, 'bug'], [2, 'flying']]"
13,weedle,3,32,"[['ビードル', 'ja-Hrkt'], ['Beedle', 'roomaji'], ['뿔충이', 'ko'], ['獨角蟲', 'zh-Hant'], ['Aspicot', 'fr'], ['Hornliu', 'de'], ['Weedle', 'es'], ['Weedle', 'it'], ['Weedle', 'en'], ['ビードル', 'ja'], ['独角虫', 'zh-Hans']]","[[1, 'bug'], [2, 'poison']]"
14,kakuna,6,100,"[['コクーン', 'ja-Hrkt'], ['Cocoon', 'roomaji'], ['딱충이', 'ko'], ['鐵殼蛹', 'zh-Hant'], ['Coconfort', 'fr'], ['Kokuna', 'de'], ['Kakuna', 'es'], ['Kakuna', 'it'], ['Kakuna', 'en'], ['コクーン', 'ja'], ['铁壳蛹', 'zh-Hans']]","[[1, 'bug'], [2, 'poison']]"
15,beedrill,10,295,"[['スピアー', 'ja-Hrkt'], ['Spear', 'roomaji'], ['독침붕', 'ko'], ['大針蜂', 'zh-Hant'], ['Dardargnan', 'fr'], ['Bibor', 'de'], ['Beedrill', 'es'], ['Beedrill', 'it'], ['Beedrill', 'en'], ['スピアー', 'ja'], ['大针蜂', 'zh-Hans']]","[[1, 'bug'], [2, 'poison']]"
16,pidgey,3,18,"[['ポッポ', 'ja-Hrkt'], ['Poppo', 'roomaji'], ['구구', 'ko'], ['波波', 'zh-Hant'], ['Roucool', 'fr'], ['Taubsi', 'de'], ['Pidgey', 'es'], ['Pidgey', 'it'], ['Pidgey', 'en'], ['ポッポ', 'ja'], ['波波', 'zh-Hans']]","[[1, 'normal'], [2, 'flying']]"
17,pidgeotto,11,300,"[['ピジョン', 'ja-Hrkt'], ['Pigeon', 'roomaji'], ['피죤', 'ko'], ['比比鳥', 'zh-Hant'], ['Roucoups', 'fr'], ['Tauboga', 'de'], ['Pidgeotto', 'es'], ['Pidgeotto', 'it'], ['Pidgeotto', 'en'], ['ピジョン', 'ja'], ['比比鸟', 'zh-Hans']]","[[1, 'normal'], [2, 'flying']]"
18,pidgeot,15,395,"[['ピジョット', 'ja-Hrkt'], ['Pigeot', 'roomaji'], ['피죤투', 'ko'], ['大比鳥', 'zh-Hant'], ['Roucarnage', 'fr'], ['Tauboss', 'de'], ['Pidgeot', 'es'], ['Pidgeot', 'it'], ['Pidgeot', 'en'], ['ピジョット', 'ja'], ['大比鸟', 'zh-Hans']]","[[1, 'normal'], [2, 'flying']]"
19,rattata,3,35,"[['コラッタ', 'ja-Hrkt'], ['Koratta', 'roomaji'], ['꼬렛', 'ko'], ['小拉達', 'zh-Hant'], ['Rattata', 'fr'], ['Rattfratz', 'de'], ['Rattata', 'es'], ['Rattata', 'it'], ['Rattata', 'en'], ['コラッタ', 'ja'], ['小拉达', 'zh-Hans']]","[[1, 'normal']]"
20,raticate,7,185,"[['ラッタ', 'ja-Hrkt'], ['Ratta', 'roomaji'], ['레트라', 'ko'], ['拉達', 'zh-Hant'], ['Rattatac', 'fr'], ['Rattikarl', 'de'], ['Raticate', 'es'], ['Raticate', 'it'], ['Raticate', 'en'], ['ラッタ', 'ja'], ['拉达', 'zh-Hans']]","[[1, 'normal']]"
21,spearow,3,20,"[['オニスズメ', 'ja-Hrkt'], ['Onisuzume', 'roomaji'], ['깨비참', 'ko'], ['烈雀', 'zh-Hant'], ['Piafabec', 'fr'], ['Habitak', 'de'], ['Spearow', 'es'], ['Spearow', 'it'], ['Spearow', 'en'], ['オニスズメ', 'ja'], ['烈雀', 'zh-Hans']]","[[1, 'normal'], [2, 'flying']]"
22,fearow,12,380,"[['オニドリル', 'ja-Hrkt'], ['Onidrill', 'roomaji'], ['깨비드릴조', 'ko'], ['大嘴雀', 'zh-Hant'], ['Rapasdepic', 'fr'], ['Ibitak', 'de'], ['Fearow', 'es'], ['Fearow', 'it'], ['Fearow', 'en'], ['オニドリル', 'ja'], ['大嘴雀', 'zh-Hans']]","[[1, 'normal'], [2, 'flying']]"
23,ekans,20,69,"[['アーボ', 'ja-Hrkt'], ['Arbo', 'roomaji'], ['아보', 'ko'], ['阿柏蛇', 'zh-Hant'], ['Abo', 'fr'], ['Rettan', 'de'], ['Ekans', 'es'], ['Ekans', 'it'], ['Ekans', 'en'], ['アーボ', 'ja'], ['阿柏蛇', 'zh-Hans']]","[[1, 'poison']]"
24,arbok,35,650,"[['アーボック', 'ja-Hrkt'], ['Arbok', 'roomaji'], ['아보크', 'ko'], ['阿柏怪', 'zh-Hant'], ['Arbok', 'fr'], ['Arbok', 'de'], ['Arbok', 'es'], ['Arbok', 'it'], ['Arbok', 'en'], ['アーボック', 'ja'], ['阿柏怪', 'zh-Hans']]","[[1, 'poison']]"
25,pikachu,4,60,"[['ピカチュウ', 'ja-Hrkt'], ['Pikachu', 'roomaji'], ['피카츄', 'ko'], ['皮卡丘', 'zh-Hant'], ['Pikachu', 'fr'], ['Pikachu', 'de'], ['Pikachu', 'es'], ['Pikachu', 'it'], ['Pikachu', 'en'], ['ピカチュウ', 'ja'], ['皮卡丘', 'zh-Hans']]","[[1, 'electric']]"
